Plate,Brand,Model,Battery
5506 SNS,Ford,Fiesta,70
6317 YXJ,Honda,Civic,65
6820 RYB,BMW,i3,95
3080 YLM,Audi,A4,35
1855 RMK,Renault,Kadjar,42
3862 LGL,Peugeot,308,65
6020 HHP,Hyundai,Tucson,88
6555 DCX,BMW,M3,22
0440 WXK,Volkswagen,Polo,96
6599 KBF,Toyota,Prius,44
2345 VCR,Audi,Q5,65
4304 VDY,Ford,Fiesta,34
5251 FPR,Peugeot,308,46
2407 VKV,Mercedes-Benz,E-Class,49
1324 HVS,Peugeot,308,59
9919 WGD,Ford,Mustang,85
9628 KGR,BMW,i3,45
4766 TTB,BMW,X3,26
6248 JGK,Toyota,Prius,76
3295 RFK,Volkswagen,Golf,93
7816 KBS,Peugeot,3008,95
0512 SCZ,Renault,Kadjar,67
8328 RNW,Peugeot,3008,48
8339 LZT,Mercedes-Benz,GLC,93
5051 HVZ,Renault,Captur,43
0624 FLB,Volkswagen,Golf,80
9588 PZN,Volkswagen,Passat,51
9619 ZFY,Honda,HR-V,37
5445 PJM,BMW,i3,30
1187 JKD,Hyundai,Tucson,53
4864 FHK,Toyota,Prius,38
2833 BGD,Hyundai,Santa Fe,40
8645 GVX,Mercedes-Benz,GLC,84
5801 SNC,BMW,M3,64
8199 SRZ,Honda,Accord,43
3224 RYP,Honda,CR-V,88
2738 SYV,Peugeot,208,60
6792 SSW,Renault,Captur,72
3143 GDV,Ford,Explorer,31
1952 WPL,Volkswagen,Polo,84
8404 DTT,Peugeot,208,77
6484 VXS,BMW,M3,89
5061 DCW,Volkswagen,Tiguan,28
3860 MVL,Honda,Civic,73
8699 TDP,Ford,Explorer,91
6021 GFZ,Volkswagen,Polo,66
2710 GCZ,Mercedes-Benz,C-Class,36
5834 BVT,Mercedes-Benz,C-Class,31
8160 WCD,Ford,Fiesta,54
4713 DDF,Renault,Clio,24
7611 TZY,Peugeot,308,42
5558 KVH,Audi,Q7,63
3396 VVV,Ford,Fiesta,30
8742 VXP,Toyota,RAV4,50
7921 GXX,BMW,i3,35
6793 LVL,Honda,CR-V,80
4831 GHC,Honda,Civic,38
6941 FVY,Peugeot,2008,73
9855 RFL,Hyundai,i30,50
7143 THS,Hyundai,i30,86
4598 PSJ,Peugeot,2008,25
1896 NTL,Peugeot,2008,33
7218 RTL,Honda,Accord,44
0832 RFR,Audi,A3,38
7143 ZWZ,Mercedes-Benz,C-Class,73
7242 BVM,Mercedes-Benz,E-Class,35
3639 GKW,BMW,X5,60
3950 FLM,Hyundai,i20,62
8235 LXJ,Honda,CR-V,69
0683 RNG,Volkswagen,Passat,35
8084 RJC,BMW,X5,63
2636 VHW,BMW,X5,95
8113 MXR,Renault,Clio,85
2915 HTH,Audi,A4,91
4076 XSF,Hyundai,i20,66
8528 STT,Audi,Q5,40
4952 MYB,Renault,Captur,42
4494 ZGJ,Honda,HR-V,46
9249 HHC,Honda,HR-V,48
8994 RPJ,Peugeot,308,41
2093 LVM,Honda,Accord,47
6501 BDD,Hyundai,Tucson,94
7764 VPM,Mercedes-Benz,C-Class,87
9337 RTT,Ford,Mustang,36
7961 BLP,Mercedes-Benz,GLC,31
1041 WDJ,Hyundai,Tucson,93
7415 MTT,Toyota,Prius,94
4252 SPH,Audi,A3,58
5519 PMR,BMW,X3,46
6608 JBJ,Toyota,Yaris,94
4912 TTS,Hyundai,Santa Fe,100
1749 VCZ,Ford,Explorer,95
3564 XSZ,Toyota,Prius,47
7834 BJZ,BMW,i3,23
4353 HKN,Peugeot,208,52
1737 WSR,Honda,CR-V,81
0298 JFD,Audi,Q7,75
8397 FZL,Ford,Focus,82
4528 HGH,Toyota,Prius,100
7610 DGT,Hyundai,Santa Fe,39
5191 GMF,Volkswagen,Golf,32
5875 LNS,Mercedes-Benz,E-Class,82
3557 MHJ,Renault,Kadjar,78
0961 SDW,Volkswagen,Passat,72
5787 JDL,Ford,Explorer,58
8494 ZJV,BMW,X3,76
4136 HFD,Toyota,Prius,21
5850 RCV,Renault,Captur,91
8498 SXW,Toyota,Yaris,24
9810 KDZ,Volkswagen,Polo,50
5212 LFP,Mercedes-Benz,GLC,83
9980 TRB,Renault,Megane,33
7455 KNG,Hyundai,i20,100
9694 JWK,Hyundai,Santa Fe,75
4982 GSJ,Volkswagen,Golf,29
7801 MGF,Hyundai,Tucson,81
3444 PLD,Honda,CR-V,89
8530 ZRC,Audi,Q5,69
9604 VBX,Mercedes-Benz,C-Class,94
7916 FDR,Toyota,Corolla,68
2685 VST,Honda,CR-V,41
4063 TNJ,Volkswagen,Polo,46
4868 SXD,Volkswagen,Golf,55
5545 FKV,BMW,i3,38
7671 KCM,BMW,i3,71
2052 BTD,Ford,Mustang,33
9648 ZFG,Mercedes-Benz,GLC,70
5979 PRG,Honda,CR-V,70
8465 LFF,Mercedes-Benz,C-Class,74
1162 TMS,BMW,X3,52
0461 WRK,Audi,A4,24
0080 XXT,Audi,A4,81
9274 LYV,Volkswagen,Polo,65
6529 FBF,Ford,Fiesta,92
1408 FKT,Mercedes-Benz,E-Class,68
4117 THJ,Volkswagen,Passat,38
8057 VMS,Mercedes-Benz,GLA,93
7493 HGM,Mercedes-Benz,E-Class,48
4962 LGB,Peugeot,3008,58
1943 XGV,Renault,Captur,88
3855 YBH,Toyota,Yaris,95
4041 NJW,Hyundai,Tucson,56
2272 BYB,Toyota,Yaris,63
2262 PXF,Toyota,Prius,83
0951 KJX,Volkswagen,Passat,47
6731 SPV,Audi,Q7,48
1826 FWB,Hyundai,i30,46
3691 MDB,Honda,CR-V,54
5620 NBF,Toyota,RAV4,67
8281 HVD,Toyota,Corolla,81
3581 XMY,Renault,Captur,38
8183 GDB,Renault,Kadjar,20
4529 ZTX,Honda,HR-V,86
0630 KTM,Ford,Fiesta,61
7821 LHZ,Peugeot,3008,89
2550 NPK,Mercedes-Benz,GLA,34
9409 JCC,Honda,Accord,44
6364 JLC,Toyota,Yaris,38
6764 FLN,Hyundai,i30,80
3477 NFK,Ford,Focus,43
6689 LGB,Mercedes-Benz,GLA,84
6395 CBP,Hyundai,i30,67
8839 LZB,Peugeot,208,41
7296 RMP,Honda,Accord,26
7180 PKX,Peugeot,308,100
6924 NJZ,Honda,HR-V,42
7021 CRD,Ford,Focus,27
5823 YWG,Ford,Explorer,60
4817 CNK,Renault,Clio,77
9995 VCR,Toyota,RAV4,48
3502 RMP,Volkswagen,Golf,86
8415 DYC,Ford,Fiesta,77
8105 MGY,Renault,Megane,24
5475 JLN,Toyota,Yaris,93
8301 WKW,Peugeot,308,31
8352 HZK,BMW,X3,21
6082 YFR,Renault,Clio,58
6844 TJY,Peugeot,3008,23
2938 JJH,Hyundai,i20,28
0990 LGB,Audi,Q7,22
0036 FVH,Honda,HR-V,22
8564 MYK,Audi,Q5,46
5764 GYK,Hyundai,i20,75
6617 WMF,Mercedes-Benz,GLA,37
3685 LYW,BMW,M3,72
2290 MJY,Hyundai,Santa Fe,30
3147 RGN,BMW,X5,26
6707 RBT,Renault,Captur,49
6830 YZH,Peugeot,3008,51
8658 FWC,Peugeot,208,92
8696 LNL,Ford,Mustang,83
5700 ZHP,Toyota,Corolla,34
4167 KKD,Toyota,Prius,89
3885 CMZ,Audi,A3,31
5881 XCV,Hyundai,i30,97
2095 BML,Peugeot,308,80
0884 GGP,Audi,Q5,65
0106 MZL,Mercedes-Benz,C-Class,81
8171 CZY,BMW,i3,81
9552 HNR,Toyota,RAV4,58
8400 MCZ,Renault,Captur,100
8815 JSR,Audi,A3,54
3263 DJS,Honda,Civic,54
1511 LPZ,Toyota,Corolla,70
8334 MTT,Renault,Captur,95
4866 LNP,Toyota,Yaris,88
5412 WFC,Mercedes-Benz,C-Class,47
6466 TTC,BMW,X3,87
8426 KYP,Toyota,Prius,57
0299 DGB,BMW,X3,48
6352 JLH,Renault,Megane,54
7424 TFD,Ford,Mustang,41
3469 TNB,BMW,M3,84
6146 HRZ,Volkswagen,Tiguan,62
7341 FCX,Peugeot,208,28
8622 CNW,Audi,Q5,47
0726 SSF,BMW,M3,63
3601 PCD,Mercedes-Benz,C-Class,53
7869 KCF,BMW,X3,99
2486 ZJY,Hyundai,Santa Fe,82
5708 WVF,Audi,Q7,47
5409 MXL,Peugeot,3008,100
0305 CDP,Renault,Kadjar,74
1778 SRT,BMW,X3,68
5310 YHN,Renault,Clio,84
8857 NHH,Ford,Focus,59
0536 SHC,Toyota,Corolla,31
6035 SVD,Renault,Captur,87
8580 ZCX,Ford,Mustang,34
2832 WTZ,Mercedes-Benz,E-Class,77
2806 LYC,Ford,Focus,58
4616 GLX,BMW,X5,86
7779 CRH,Ford,Fiesta,22
4738 BZZ,Peugeot,3008,74
1994 XNJ,Audi,Q5,73
0941 PDX,Ford,Fiesta,78
9725 PTW,Renault,Captur,62
5220 YLM,Mercedes-Benz,E-Class,52
4388 GZF,Peugeot,308,53
6442 GXG,Peugeot,3008,26
4847 XZR,Audi,A3,71
0520 KGJ,Honda,Accord,90
9408 CRB,Mercedes-Benz,GLA,54
9344 SLP,Volkswagen,Passat,30
3734 DPS,Hyundai,Tucson,68
7437 RRJ,Hyundai,i30,87
9959 BJY,Audi,A4,25
6689 BHD,Volkswagen,Passat,46
4672 KTS,Audi,Q7,62
6908 XXW,Mercedes-Benz,E-Class,82
7535 TMN,Hyundai,Tucson,60
6080 DNK,Volkswagen,Passat,92
0415 YYX,Toyota,RAV4,88
6209 CBN,Honda,HR-V,71
1682 HMN,Peugeot,208,44
5427 HKH,Ford,Mustang,89
4948 BYF,Audi,A3,70
9876 ZVP,Renault,Megane,67
4959 NMG,Audi,A3,66
2882 CSM,Audi,A3,88
9136 XTL,Peugeot,308,38
3015 YCL,Peugeot,208,44
5274 XPH,Toyota,RAV4,49
9860 FKP,Ford,Explorer,21
6764 YBP,BMW,M3,77
2808 CYW,Honda,Civic,33
7042 YHC,Ford,Explorer,58
2938 FNN,Ford,Mustang,68
1093 JKN,Ford,Focus,63
3541 TVM,Peugeot,308,20
0505 YLV,Honda,CR-V,82
3826 PMM,Hyundai,Santa Fe,96
5045 XFR,BMW,X5,40
3394 PPM,Audi,Q7,73
6754 LBN,Volkswagen,Passat,42
9231 JGR,Volkswagen,Tiguan,50
7284 RBX,BMW,X5,35
5792 BCY,Mercedes-Benz,C-Class,38
1582 ZYG,Audi,Q7,36
4634 ZBB,Peugeot,308,95
6045 CMY,Volkswagen,Polo,60
5676 PBV,Audi,A3,39
2978 DFF,Volkswagen,Golf,74
1585 YMY,Renault,Kadjar,84
9404 BXT,Honda,Civic,32
7140 KYY,Volkswagen,Polo,76
4372 NPG,Ford,Fiesta,50
4812 MFN,Ford,Fiesta,87
2873 VMS,Peugeot,3008,100
4653 JFJ,Honda,Civic,75
8906 TWV,Volkswagen,Golf,95
4269 XGB,Audi,Q5,25
6658 MZD,BMW,X3,95
1181 ZJK,Toyota,Yaris,57
0581 FWV,Renault,Megane,37
3616 RXK,Honda,CR-V,91
2191 YDT,Mercedes-Benz,GLA,34
6359 YCB,Peugeot,2008,25
1471 SSY,BMW,i3,77
4720 YJH,Honda,Accord,49
1743 VTT,Toyota,Yaris,44
0505 NDD,Audi,A3,35
8544 NBN,Honda,Civic,65
6069 TSR,Mercedes-Benz,E-Class,88
2347 KDM,Ford,Focus,20
8667 WFM,Ford,Focus,100
3881 VGP,Mercedes-Benz,E-Class,79
8585 MPS,Peugeot,3008,99
7025 HSL,Peugeot,208,75
4976 NKF,Audi,A3,87
0520 TBY,Audi,Q5,85
4905 GNK,Mercedes-Benz,E-Class,46
8673 YMR,BMW,M3,95
7989 CMP,Mercedes-Benz,E-Class,31
4281 SRG,Toyota,Yaris,41
3501 GJF,Mercedes-Benz,C-Class,92
7123 HZP,Hyundai,i30,33
7011 CGH,Renault,Kadjar,66
5822 XPY,Hyundai,i30,20
3594 FLW,Mercedes-Benz,GLA,48
1327 CTY,Renault,Clio,30
1420 MGC,Renault,Megane,36
6882 BTR,Renault,Megane,38
3807 HTN,Ford,Mustang,66
0032 GNY,Volkswagen,Passat,95
2568 PGF,Toyota,Yaris,58
4649 KZX,Hyundai,i30,91
8472 HBB,Audi,Q5,97
5723 VWL,Toyota,RAV4,21
0120 DMT,Peugeot,208,83
4690 LYG,Ford,Fiesta,90
3219 LMR,Mercedes-Benz,C-Class,23
4487 VPN,BMW,i3,69
3771 PVM,Toyota,Yaris,83
3165 NGR,Peugeot,3008,91
0631 CHW,Hyundai,Tucson,59
3986 KSM,Toyota,Yaris,84
3475 TFP,Audi,Q5,27
9889 BGP,Volkswagen,Tiguan,75
9320 LSL,BMW,X5,49
1553 WHL,Hyundai,i30,69
7064 PMH,Audi,A4,66
7606 VTW,Toyota,RAV4,70
3729 FLB,Hyundai,i30,100
6078 JSK,Volkswagen,Golf,30
7531 XLH,BMW,i3,64
1023 SXC,Ford,Fiesta,45
8120 BTR,Volkswagen,Polo,29
4280 ZMC,Audi,Q5,80
5685 LWW,BMW,X3,92
1160 PVW,Renault,Clio,92
1066 ZHH,Volkswagen,Tiguan,55
9041 CTK,Toyota,Corolla,83
1896 RWK,Hyundai,Santa Fe,31
6338 SGP,Mercedes-Benz,GLC,67
3747 NJM,Audi,A4,80
3367 XYP,Volkswagen,Passat,84
6567 RBK,Toyota,RAV4,63
7644 PYF,Peugeot,3008,28
1401 HJG,Renault,Clio,70
3462 KTV,Hyundai,i20,76
9000 FPZ,Renault,Captur,74
6721 VNN,Renault,Megane,44
2102 RTF,Ford,Explorer,64
2968 HFC,Renault,Megane,42
9889 CFN,BMW,X5,59
2566 YPX,Audi,A4,27
5284 ZZK,Volkswagen,Passat,77
7306 MYB,Ford,Mustang,86
8919 NJH,Toyota,RAV4,78
5780 HTT,Volkswagen,Golf,82
7053 SWF,Renault,Kadjar,68
4095 XZV,Toyota,Corolla,68
6054 WKJ,Renault,Clio,33
6793 PHS,Peugeot,3008,49
7949 BMH,BMW,i3,51
8000 VWV,Hyundai,Tucson,87
9742 KNV,Volkswagen,Golf,57
8851 YDF,BMW,M3,91
8847 RMN,Volkswagen,Passat,25
7946 VYF,Renault,Megane,81
0250 MPT,Honda,HR-V,94
0671 KTD,Volkswagen,Golf,75
3542 BPV,Ford,Focus,37
0722 XKC,Volkswagen,Tiguan,28
7111 KPS,Audi,A3,37
6263 BDG,Honda,HR-V,47
8715 KZD,Volkswagen,Golf,50
1879 DGY,Renault,Kadjar,100
6739 LKH,Peugeot,308,21
2565 MDN,Ford,Explorer,68
0487 XDT,Hyundai,i20,61
9689 MWX,Volkswagen,Polo,88
7447 GHH,Honda,HR-V,83
1807 CYG,Toyota,Corolla,63
6180 TJS,BMW,i3,21
1578 MYV,Ford,Explorer,25
0860 TMK,Ford,Focus,44
1800 FRS,Volkswagen,Polo,46
5110 GTZ,Renault,Captur,46
5653 TNW,Ford,Fiesta,29
9503 TSP,BMW,i3,29
0866 CVM,BMW,X3,69
3816 RWZ,Honda,Civic,56
4516 NHS,Mercedes-Benz,GLC,79
0436 HWD,BMW,X3,32
1583 TMP,Peugeot,2008,41
7856 JNH,Toyota,Prius,26
9377 SXZ,Peugeot,2008,24
8881 TKM,Ford,Mustang,38
2206 LJJ,Peugeot,308,96
2285 HVB,BMW,M3,75
3638 GVK,BMW,M3,82
5919 ZRT,Volkswagen,Polo,63
6768 XKP,BMW,M3,93
1266 BNC,Renault,Captur,80
5530 CSJ,Ford,Mustang,63
6175 JBY,Volkswagen,Polo,82
6364 GVM,Peugeot,308,33
1909 MCW,Honda,CR-V,51
2732 LVH,Renault,Captur,27
8599 GPX,Mercedes-Benz,GLC,91
7555 PDK,BMW,M3,46
3937 JPJ,Volkswagen,Tiguan,60
5922 HBX,Toyota,Prius,31
1643 DLC,Volkswagen,Tiguan,22
6642 PMZ,BMW,X5,47
3344 PYY,Mercedes-Benz,GLC,76
3009 BZR,Mercedes-Benz,GLA,67
3420 KRH,Hyundai,Tucson,95
7566 NBM,Renault,Kadjar,100
3522 HVS,Mercedes-Benz,GLA,42
2849 DSH,Hyundai,Santa Fe,31
7728 FWJ,Volkswagen,Polo,90
8643 PSX,Honda,HR-V,79
6966 XCS,Peugeot,308,30
7870 NGH,Peugeot,308,100
5490 KLL,Audi,Q7,41
0594 XPX,Peugeot,3008,34
1961 VBP,Ford,Explorer,91
9504 BMN,BMW,X5,76
9868 TFY,Volkswagen,Passat,50
3420 ZJY,Volkswagen,Polo,74
2304 LRY,BMW,M3,53
1127 HJC,Ford,Mustang,53
0720 LFZ,Peugeot,3008,35
3755 YYW,Honda,HR-V,31
2233 KWM,Hyundai,Tucson,95
8496 TKB,Honda,HR-V,43
5053 KRZ,Volkswagen,Passat,48
7836 BFZ,Ford,Focus,67
2943 JPD,BMW,i3,80
3842 NCT,Audi,A3,63
6333 YHL,Ford,Mustang,85
9363 DRG,Audi,Q5,73
9799 FDZ,Peugeot,208,48
0373 BWX,BMW,M3,38
3713 KMN,Ford,Focus,38
4030 MCS,BMW,i3,58
8691 WFV,BMW,X5,99
1807 VVW,Ford,Explorer,83
9047 SMY,Volkswagen,Passat,31
5871 NJB,Toyota,RAV4,85
6170 GLF,Peugeot,2008,77
5580 XBZ,Honda,HR-V,47
4310 JBF,Peugeot,308,82
1392 RBL,Volkswagen,Golf,63
2052 WDM,BMW,i3,62
1466 WRS,Toyota,Yaris,51
7278 FHC,Ford,Mustang,78
1868 MYB,Toyota,Yaris,44
4143 SXH,Honda,Civic,69
4705 BRC,Ford,Mustang,55
4327 PMK,Renault,Captur,96
5315 RNH,Mercedes-Benz,GLC,27
6825 LBS,Toyota,Prius,39
0007 WZM,Volkswagen,Tiguan,71
5716 MSR,Ford,Focus,75
7950 YTR,Peugeot,308,95
8151 DVS,Audi,Q5,78
4276 WFX,BMW,X5,27
5791 GDM,Volkswagen,Passat,85
5071 FDG,Peugeot,308,99
4097 JNJ,BMW,X5,35
1679 PMT,Honda,Civic,23
3565 RKD,Toyota,Yaris,33
9932 GFG,Ford,Explorer,44
2396 PGB,Ford,Focus,49
6108 BKW,Honda,CR-V,41
5075 DKR,Ford,Fiesta,91
2142 MFD,Volkswagen,Golf,29
8634 BXK,Honda,Civic,20
2792 XCX,Audi,Q5,66
6320 KMD,Audi,Q7,91
6602 DDR,Toyota,Prius,92
1479 CTS,BMW,X5,54
7115 TXL,Peugeot,308,57
3060 YRS,BMW,X5,67
5780 KRR,Ford,Explorer,58
1662 FFG,Hyundai,Santa Fe,92
8991 FDJ,Mercedes-Benz,E-Class,100
4824 BZF,Hyundai,Santa Fe,67
0382 BVS,Hyundai,i30,91
2021 JBP,Peugeot,3008,46
1399 XDJ,Mercedes-Benz,GLC,38
6634 TPP,Renault,Clio,68
9094 FTP,Peugeot,2008,61
9241 CLM,Renault,Captur,25
2258 TDT,Mercedes-Benz,E-Class,75
8473 CKW,Ford,Mustang,88
1806 SCF,Audi,A3,35
7481 JRR,Ford,Focus,50
2729 LDM,BMW,X3,71
4969 BYF,Audi,A3,52
1457 JLJ,Hyundai,i20,20
8120 XSL,Hyundai,Santa Fe,46
8419 DLD,Volkswagen,Golf,27
9302 BZK,Peugeot,308,44
2845 RFD,Honda,Civic,56
3184 KZP,Audi,A4,52
5358 CFD,Mercedes-Benz,C-Class,87
4783 CTK,BMW,M3,78
7486 PVK,Ford,Explorer,39
2251 WNG,Audi,A4,71
7436 YJD,BMW,i3,22
5388 RXX,Mercedes-Benz,E-Class,25
5990 KYY,Audi,A4,92
5050 HCK,Mercedes-Benz,GLA,52
1753 DHC,BMW,M3,39
8304 YWD,Mercedes-Benz,C-Class,69
1552 JVK,Hyundai,Santa Fe,34
6327 GVW,Audi,Q7,99
5558 FLZ,Toyota,Yaris,34
0717 JGY,Audi,Q7,39
4332 HNN,Mercedes-Benz,GLC,80
9048 XXS,Volkswagen,Passat,44
7605 SGV,Hyundai,Tucson,83
3418 PZL,Ford,Mustang,92
4065 LFL,BMW,X5,40
1777 CZJ,Renault,Captur,75
1174 JRX,Volkswagen,Golf,31
6295 ZFJ,BMW,i3,88
5394 NXG,Honda,Civic,46
9644 RPD,Renault,Captur,69
5636 GBK,Toyota,RAV4,56
7756 TVB,Peugeot,208,35
3746 RWL,Audi,A4,49
5772 JYT,Hyundai,Santa Fe,77
4304 BNN,Peugeot,308,92
7440 VZL,Hyundai,i30,26
6968 KFF,Peugeot,208,85
7283 BZX,Toyota,Yaris,37
8531 CBT,Mercedes-Benz,C-Class,73
7309 KTG,Mercedes-Benz,GLA,85
3156 YFN,Hyundai,i30,32
5260 CRC,Peugeot,208,75
6846 SMS,Ford,Fiesta,34
5583 ZLL,Peugeot,2008,63
7137 VMN,Hyundai,i20,84
2946 ZGL,Volkswagen,Tiguan,64
2628 LNF,Peugeot,3008,99
1356 KCL,Hyundai,Santa Fe,22
7809 LXH,Ford,Fiesta,57
5765 RFK,Volkswagen,Golf,58
4752 WDG,Ford,Fiesta,50
9384 ZMS,Hyundai,Santa Fe,39
2687 WWB,Audi,Q7,94
4970 WGW,Mercedes-Benz,GLC,48
4113 BGH,Honda,Civic,75
6838 CPL,Ford,Focus,43
8031 ZVT,Audi,A3,54
0833 HTS,Toyota,RAV4,32
4243 SKJ,Ford,Focus,50
3995 FSK,Ford,Mustang,41
7677 DGP,Honda,Accord,81
9435 GSK,Honda,Accord,35
3884 WDW,Hyundai,i20,53
6702 TJV,Volkswagen,Passat,65
0556 WWD,BMW,X5,72
0122 XJX,Toyota,Yaris,28
1928 ZTJ,Honda,HR-V,81
5171 YBT,Renault,Megane,44
4205 TXP,Mercedes-Benz,GLA,40
0243 RRK,Honda,CR-V,89
8758 BMC,Honda,Civic,88
4945 MZC,Volkswagen,Passat,25
4088 PSN,BMW,M3,24
6163 YCB,Volkswagen,Tiguan,55
8380 PFY,Hyundai,Santa Fe,59
3115 JLL,Renault,Clio,23
4473 LMR,Toyota,Corolla,72
4011 PDB,Ford,Explorer,21
7594 SHR,Hyundai,Tucson,38
7271 JZG,BMW,M3,71
0453 KZF,Honda,HR-V,80
9908 RCL,Ford,Focus,82
5368 VBF,Honda,Accord,51
5676 DSF,BMW,M3,76
6811 MST,Ford,Fiesta,85
6364 MTF,Hyundai,Santa Fe,33
6816 SFJ,Ford,Fiesta,43
9197 GKW,Toyota,Prius,21
1278 DYV,Ford,Explorer,40
9955 TGD,Renault,Captur,36
5928 YDL,Volkswagen,Passat,56
2767 CJL,Toyota,Corolla,64
5471 BDC,Volkswagen,Tiguan,84
4793 LDP,Volkswagen,Polo,92
4810 CMZ,Peugeot,3008,99
8237 PYY,Hyundai,Tucson,83
5285 YCG,Audi,A3,96
0422 MXL,Honda,CR-V,76
9433 VHC,Hyundai,i20,94
8347 FHJ,Hyundai,Tucson,72
2533 YDL,Renault,Captur,95
4780 HFL,Audi,A4,32
9878 MSR,Mercedes-Benz,GLC,23
4462 XCH,Renault,Clio,78
1866 XVW,Renault,Megane,75
6070 NDH,Hyundai,Tucson,22
1472 XMG,Honda,Accord,47
5580 HCT,Volkswagen,Golf,44
2540 TZN,Ford,Focus,54
5324 YHR,Hyundai,i30,63
4047 TSG,Peugeot,3008,60
6398 DXW,Renault,Kadjar,89
6404 DKY,Renault,Clio,30
7323 XNX,Hyundai,Santa Fe,32
5418 WPZ,BMW,i3,75
2388 LYC,Volkswagen,Golf,91
8227 SVD,Toyota,Yaris,27
3281 NGG,BMW,M3,96
9336 MSN,Honda,HR-V,77
7988 GPH,Hyundai,Tucson,86
4224 DCM,Audi,A4,61
9024 KHX,Renault,Kadjar,61
9872 SLV,BMW,i3,41
6864 YBB,Mercedes-Benz,E-Class,96
9276 MCX,BMW,M3,45
4247 PHR,Peugeot,308,37
2064 BCV,Hyundai,i30,86
2045 NRP,Mercedes-Benz,C-Class,69
4465 XZP,Peugeot,2008,23
5386 VFK,Mercedes-Benz,C-Class,91
9840 VPY,Mercedes-Benz,GLA,71
3567 JDK,Peugeot,3008,58
6446 YYF,Audi,A3,53
1628 JYB,Ford,Explorer,33
1216 PDF,Renault,Kadjar,54
0136 SCF,Volkswagen,Passat,82
4657 RLM,Audi,A4,27
1678 VDX,Toyota,Corolla,32
6251 FJR,Hyundai,i30,79
9579 VCD,BMW,M3,82
7442 JVY,Ford,Mustang,69
8609 LSC,Audi,A3,46
9012 JSX,Peugeot,208,91
4661 YCM,Ford,Focus,62
0172 KYZ,Mercedes-Benz,C-Class,84
5766 KDC,Ford,Explorer,57
8596 KVG,Ford,Mustang,79
5470 LMP,Honda,Accord,93
2610 WRB,Hyundai,Santa Fe,90
5086 MDB,Peugeot,308,57
9569 GDH,Peugeot,3008,22
0942 LVV,Renault,Megane,50
1071 TVB,Peugeot,3008,61
9894 WWC,Audi,A4,94
8391 PVM,Mercedes-Benz,GLC,57
1261 GMB,Honda,CR-V,20
4938 ZWR,Renault,Kadjar,91
8924 RTG,Audi,Q7,77
9574 PTM,Hyundai,i30,20
0423 WZS,Audi,Q5,52
9517 FCG,Mercedes-Benz,GLA,67
6737 NDV,Peugeot,2008,63
0589 PNC,Audi,Q5,62
8304 VHP,Hyundai,Santa Fe,59
5576 WFW,Honda,Civic,46
9164 TFB,Honda,HR-V,93
9143 MMJ,BMW,i3,54
0519 LWW,Mercedes-Benz,GLA,99
6498 TBV,Volkswagen,Golf,29
9853 FCH,Volkswagen,Polo,36
3354 YHP,Renault,Clio,62
4633 YPC,Honda,Accord,26
4775 WNN,Audi,Q5,65
7270 JZC,Honda,Civic,28
2762 LST,Hyundai,Tucson,97
5218 WFR,Mercedes-Benz,E-Class,65
7380 LSV,Audi,Q7,30
2074 ZGD,Ford,Fiesta,83
4049 HNW,Hyundai,i30,48
3964 SYS,Mercedes-Benz,E-Class,76
1290 TCK,Audi,A3,59
9248 VHH,Peugeot,3008,91
5728 HGC,Toyota,Corolla,33
8222 TGP,Volkswagen,Passat,39
5929 PZS,Ford,Mustang,62
7244 YHK,Volkswagen,Golf,45
5232 RBJ,Honda,Accord,58
9277 LXP,Mercedes-Benz,GLC,40
7198 SDZ,Honda,CR-V,83
6866 LBS,Mercedes-Benz,C-Class,20
7430 ZLL,Peugeot,208,39
5261 XPG,Honda,Accord,32
3644 RBL,Mercedes-Benz,GLC,87
2378 SFD,Volkswagen,Polo,38
0872 XJW,Mercedes-Benz,E-Class,21
0525 KDR,Audi,Q7,79
8459 PSH,Audi,Q7,29
8659 GWM,Volkswagen,Golf,65
1308 YKB,Honda,Civic,37
6604 BZY,Peugeot,3008,82
2734 NRW,Hyundai,Tucson,66
6716 ZKZ,Renault,Megane,69
6184 FZS,BMW,i3,51
5205 GML,Hyundai,i30,54
9204 JMN,Peugeot,2008,20
9124 BXG,Mercedes-Benz,C-Class,64
0257 PDK,Toyota,Corolla,39
6218 HZM,Honda,CR-V,34
4474 XVG,Audi,A4,100
6069 XWG,Mercedes-Benz,C-Class,32
1221 WMM,Audi,Q5,40
1071 TRH,Renault,Clio,20
5951 VKB,Toyota,RAV4,26
9457 RHV,Hyundai,Santa Fe,74
8144 GYF,Mercedes-Benz,E-Class,92
5976 GFM,Hyundai,Santa Fe,95
8959 LKH,Ford,Focus,98
0917 LCY,Ford,Explorer,41
1191 VFG,Toyota,Corolla,37
4391 RDF,Peugeot,2008,54
8221 BMW,Peugeot,208,29
9467 JNV,Renault,Kadjar,95
7526 PKH,Honda,CR-V,35
4906 CKT,Audi,Q5,66
1408 JVM,Renault,Captur,28
0414 MBL,Toyota,Corolla,69
6216 CDP,Honda,CR-V,23
8645 PKJ,Renault,Megane,85
3268 KLX,Ford,Focus,78
5590 NXF,BMW,X5,37
2749 RMD,Hyundai,i20,39
2768 MNN,Toyota,Prius,100
6549 KKW,Honda,Civic,86
4712 NVL,Toyota,Corolla,87
3061 THT,Toyota,Prius,24
2948 RZR,Mercedes-Benz,GLC,73
